Scenario,Producer_Surplus,Consumer_Surplus,Total_Welfare
Uniform,17454.545454545452,10309.184086811998,27763.72954135745
Perfect PP,34707.206794290236,0.0,34707.206794290236
Realistic AI,26936.27154252582,7849.081019143538,34785.35256166936
